CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,49.0,123.0,69.0
2,Female,56.0,65.0,99.0
3,Male,66.0,22.0,12.0
4,Male,69.0,41.0,25.0
5,Male,49.0,41.0,52.0
6,Female,21.0,35.0,85.0
7,,47.0,44.0,100.0
8,Male,54.0,111.0,53.0
9,Male,40.0,42.0,23.0
10,Female,56.0,125.0,16.0
11,Male,62.0,75.0,57.0
12,Male,32.0,62.0,39.0
13,Male,60.0,18.0,53.0
14,Male,46.0,49.0,42.0
15,Female,,63.0,58.0
16,Male,30.0,31.0,39.0
17,Female,49.0,60.0,14.0
18,Female,24.0,131.0,95.0
19,Female,68.0,20.0,5.0
20,Male,39.0,113.0,35.0
21,Female,45.0,138.0,87.0
22,Male,19.0,51.0,93.0
23,Female,59.0,,75.0
24,Female,62.0,107.0,18.0
25,Female,70.0,60.0,76.0
26,Female,23.0,109.0,9.0
27,Female,45.0,113.0,74.0
28,Female,45.0,130.0,58.0
29,Female,61.0,81.0,17.0
30,Female,61.0,142.0,7.0
31,Male,37.0,32.0,
32,Male,47.0,39.0,13.0
33,Female,28.0,68.0,40.0
34,Female,45.0,72.0,42.0
35,Female,42.0,81.0,9.0
36,Male,56.0,118.0,50.0
37,Female,50.0,38.0,27.0
38,Male,18.0,128.0,66.0
39,Male,44.0,46.0,5.0
40,Male,69.0,100.0,29.0
41,Male,30.0,141.0,37.0
42,,58.0,144.0,38.0
43,Female,20.0,31.0,83.0
44,Female,56.0,118.0,8.0
45,Female,23.0,57.0,65.0
46,Female,25.0,53.0,86.0
47,Female,44.0,40.0,17.0
48,Male,26.0,113.0,71.0
49,Female,54.0,64.0,89.0
50,Female,50.0,27.0,45.0
51,Male,68.0,74.0,4.0
52,Female,59.0,149.0,36.0
53,Male,61.0,71.0,70.0
54,Female,,50.0,31.0
55,Male,32.0,34.0,19.0
56,Female,49.0,79.0,61.0
57,Female,49.0,22.0,54.0
58,Male,41.0,129.0,39.0
59,Male,58.0,106.0,91.0
60,Male,69.0,112.0,74.0
61,Male,66.0,80.0,90.0
62,Male,66.0,46.0,19.0
63,Male,69.0,100.0,39.0
64,Male,29.0,65.0,67.0
65,Male,56.0,77.0,45.0
66,Female,19.0,139.0,13.0
67,Female,20.0,,92.0
68,Male,66.0,72.0,58.0
69,Female,54.0,100.0,20.0
70,Female,66.0,63.0,92.0
71,Female,34.0,84.0,72.0
72,Female,66.0,29.0,61.0
73,Male,19.0,68.0,39.0
74,Female,19.0,115.0,1.0
75,Male,45.0,22.0,3.0
76,Female,40.0,67.0,77.0
77,Female,54.0,74.0,92.0
78,Female,49.0,122.0,62.0
79,Male,50.0,19.0,
80,Female,18.0,117.0,25.0
81,Male,36.0,20.0,56.0
82,Female,19.0,123.0,33.0
83,Male,70.0,130.0,38.0
84,Female,61.0,108.0,6.0
85,Male,43.0,61.0,58.0
86,Male,49.0,113.0,44.0
87,Female,23.0,69.0,45.0
88,,49.0,66.0,32.0
89,Female,21.0,27.0,45.0
90,Female,28.0,128.0,61.0
91,Female,34.0,138.0,47.0
92,Female,55.0,120.0,21.0
93,Female,41.0,134.0,80.0
94,Female,22.0,77.0,85.0
95,Female,69.0,33.0,75.0
96,Female,51.0,106.0,36.0
97,Female,23.0,72.0,99.0
98,Female,39.0,104.0,19.0
99,Female,28.0,131.0,20.0
100,Male,65.0,76.0,57.0
101,Male,33.0,37.0,18.0
102,Female,50.0,141.0,47.0
103,Female,,143.0,49.0
104,Female,23.0,72.0,14.0
105,Female,33.0,136.0,15.0
106,Female,46.0,15.0,31.0
107,Female,20.0,48.0,1.0
108,Female,37.0,110.0,54.0
109,Female,53.0,140.0,3.0
110,Male,36.0,132.0,16.0
111,Female,43.0,62.0,87.0
112,Male,20.0,103.0,57.0
113,Female,36.0,131.0,75.0
114,Female,37.0,143.0,12.0
115,Male,49.0,30.0,74.0
116,Female,24.0,83.0,96.0
117,Male,69.0,36.0,16.0
