Experience,Education,JobRole,Location,Skills,Salary
7,PhD,UX Designer,Seattle,"Figma, UI Design",92813
19,Bachelor,Data Scientist,Seattle,"Java, Spring",101104
10,Master,Data Scientist,Chicago,"Recruitment, HR Policies",89223
5,PhD,Business Analyst,San Francisco,"Project Management, Agile",85725
8,PhD,Business Analyst,Boston,"Figma, UI Design",107868
14,PhD,HR Manager,Boston,"Java, Spring",101666
11,Bachelor,Software Engineer,Austin,"Recruitment, HR Policies",85265
0,Bachelor,Project Manager,San Francisco,"Excel, PowerBI",47504
1,Master,UX Designer,New York,"Figma, UI Design",66112
15,PhD,Software Engineer,Boston,"Excel, PowerBI",120134
17,PhD,Software Engineer,Chicago,"Excel, PowerBI",106231
11,PhD,Business Analyst,Boston,"Figma, UI Design",112283
15,Bachelor,Software Engineer,Austin,"Python, SQL",77769
0,PhD,UX Designer,Chicago,"Recruitment, HR Policies",72262
0,Master,Data Scientist,New York,"Python, SQL",50735
2,Master,Project Manager,New York,"Project Management, Agile",58593
6,Bachelor,Data Scientist,Seattle,"Excel, PowerBI",63014
18,Master,Software Engineer,Austin,"Project Management, Agile",95538
15,PhD,Project Manager,Austin,"Recruitment, HR Policies",101856
11,Bachelor,UX Designer,Austin,"Figma, UI Design",94174
10,Bachelor,Business Analyst,New York,"Python, SQL",84043
7,Master,HR Manager,Seattle,"Project Management, Agile",82716
18,PhD,UX Designer,Seattle,"Java, Spring",131467
11,Bachelor,UX Designer,Seattle,"Python, SQL",89237
11,Master,Software Engineer,New York,"Excel, PowerBI",87019
14,Master,Business Analyst,San Francisco,"Project Management, Agile",95108
20,PhD,Project Manager,San Francisco,"Python, SQL",135061
0,Bachelor,Software Engineer,Seattle,"Project Management, Agile",47109
16,Bachelor,Business Analyst,Austin,"Recruitment, HR Policies",92833
17,PhD,Data Scientist,San Francisco,"Figma, UI Design",125005
0,PhD,Data Scientist,Chicago,"Excel, PowerBI",64116
2,PhD,HR Manager,Boston,"Python, SQL",78755
20,PhD,Data Scientist,New York,"Excel, PowerBI",111161
11,PhD,Data Scientist,Chicago,"Figma, UI Design",99784
5,PhD,Business Analyst,Chicago,"Java, Spring",90095
1,PhD,Data Scientist,New York,"Figma, UI Design",65743
3,PhD,Software Engineer,San Francisco,"Java, Spring",70689
2,Bachelor,HR Manager,New York,"Excel, PowerBI",53333
6,Bachelor,Data Scientist,Seattle,"Excel, PowerBI",63014
18,Master,Software Engineer,Austin,"Project Management, Agile",95538
15,PhD,Project Manager,Austin,"Recruitment, HR Policies",101856
11,Bachelor,UX Designer,Austin,"Figma, UI Design",94174
10,Bachelor,Business Analyst,New York,"Python, SQL",84043
7,Master,HR Manager,Seattle,"Project Management, Agile",82716
18,PhD,UX Designer,Seattle,"Java, Spring",131467
11,Bachelor,UX Designer,Seattle,"Python, SQL",89237
11,Master,Software Engineer,New York,"Excel, PowerBI",87019
14,Master,Business Analyst,San Francisco,"Project Management, Agile",95108
20,PhD,Project Manager,San Francisco,"Python, SQL",135061
0,Bachelor,Software Engineer,Seattle,"Project Management, Agile",47109
16,Bachelor,Business Analyst,Austin,"Recruitment, HR Policies",92833
17,PhD,Data Scientist,San Francisco,"Figma, UI Design",125005
0,PhD,Data Scientist,Chicago,"Excel, PowerBI",64116
2,PhD,HR Manager,Boston,"Python, SQL",78755
20,PhD,Data Scientist,New York,"Excel, PowerBI",111161
11,PhD,Data Scientist,Chicago,"Figma, UI Design",99784
5,PhD,Business Analyst,Chicago,"Java, Spring",90095
0,PhD,UX Designer,Chicago,"Recruitment, HR Policies",72262
0,Master,Data Scientist,New York,"Python, SQL",50735
2,Master,Project Manager,New York,"Project Management, Agile",58593
6,Bachelor,Data Scientist,Seattle,"Excel, PowerBI",63014
18,Master,Software Engineer,Austin,"Project Management, Agile",95538
15,PhD,Project Manager,Austin,"Recruitment, HR Policies",101856
11,Bachelor,UX Designer,Austin,"Figma, UI Design",94174
10,Bachelor,Business Analyst,New York,"Python, SQL",84043
7,Master,HR Manager,Seattle,"Project Management, Agile",82716
18,PhD,UX Designer,Seattle,"Java, Spring",131467
11,Bachelor,UX Designer,Seattle,"Python, SQL",89237
11,Master,Software Engineer,New York,"Excel, PowerBI",87019
14,Master,Business Analyst,San Francisco,"Project Management, Agile",95108
20,PhD,Project Manager,San Francisco,"Python, SQL",135061
